AwayTeamAPI,AwayTeamAvgGoals,AwayTeamCreatonShooting,AwayTeamDefencePressure,AwayTeamGoals,AwayTeamOdds,AwayTeamPlaySpeed,GoalDiff,HomeTeamAPI,HomeTeamAvgGoals,HomeTeamCreatonShooting,HomeTeamDefencePressure,HomeTeamGoals,HomeTeamPlaySpeed,HomeTeamsOdds,corner_away_team,corner_home_team,crosses_away_team,crosses_home_team,on_target_shot_away_team,on_target_shot_home_team,possession_away_team,possession_home_team,red_card_away_team,red_card_home_team,yellow_card_away_team,yellow_card_home_team,HomeTeamRatings,AwayTeamRatings,win
7819,1.245283019,40,70,0,2.626666667,65,4,10249,1.397727273,70,70,1,35,1.958,3,7,19,15,3,5,46,54,0,0,1,1,71.56521739,69.62295082,1
7819,1.245283019,40,70,0,2.5645,65,-1,8588,1,70,70,2,30,1.655,0,0,0,0,0,0,42.68421053,49.5,0,0,0,0,68.07142857,69.62295082,1
7819,1.245283019,40,70,0,2.5645,65,-1,8588,1,70,70,0,30,1.655,0,1,15,15,5,3,54,46,0,0,0,1,68.07142857,69.62295082,0
7819,1.245283019,40,70,4,2.795,65,-5,4087,1.263157895,65,45,2,35,1.97,2.119047619,1.296875,6.976190476,4.515625,1.833333333,0.953125,42.68421053,45.21052632,0.142857143,0.046875,1.976190476,1.71875,69.3,69.62295082,2
7819,1.245283019,40,70,3,2.795,65,-5,4087,1.263157895,65,45,0,35,1.97,6,5,19,14,4,3,38,62,0,0,1,1,69.3,69.62295082,2
7819,1.245283019,40,70,2,2.252,65,-5,9837,1.25,50,45,0,35,1.566,3,5,9,20,6,6,47,53,0,0,0,1,69.58333333,69.62295082,2
7819,1.245283019,40,70,1,2.322,65,0,7794,1.291666667,55,70,1,40,1.379,4,8,18,32,3,2,39,61,0,0,1,1,69.84313725,69.62295082,0
7819,1.245283019,40,70,1,2.191,65,6,9747,1.027777778,70,30,5,35,1.585,4,6,9,27,1,6,50,50,1,0,1,2,70.3,69.62295082,1
7819,1.245283019,40,70,2,2.385,65,1,8550,1.444444444,65,30,3,50,1.34,5,0,28,19,3,3,56,44,1,0,0,2,67.65217391,69.62295082,1
9830,0.577777778,35,30,0,2.433,55,0,9827,1.445544554,70,55,2,70,2.292666667,2.027777778,1.303797468,6.5,4.594936709,1.861111111,1.35443038,46.83333333,54.21052632,0.055555556,0.063291139,1.861111111,1.379746835,72.26666667,70.24489796,1
9830,0.577777778,35,30,3,2.433,55,0,9827,1.445544554,70,55,0,70,2.292666667,0,0,0,0,0,0,46.83333333,54.21052632,0,0,2,1,72.26666667,70.24489796,2
9830,0.577777778,35,30,1,2.433,55,0,9827,1.445544554,70,55,2,70,2.292666667,1,6,12,21,3,3,42,58,0,0,2,3,72.26666667,70.24489796,1
9830,0.577777778,35,30,2,2.595,55,3,9829,1.333333333,45,70,1,35,2.4685,2.027777778,2.136363636,6.5,6.227272727,1.861111111,1.840909091,46.83333333,51.88235294,0.055555556,0.045454545,1.861111111,1.590909091,73.24324324,70.24489796,2
9830,0.577777778,35,30,1,2.595,55,3,9829,1.333333333,45,70,3,35,2.4685,0,0,0,0,0,0,46.83333333,51.88235294,0,0,3,2,73.24324324,70.24489796,1
9830,0.577777778,35,30,0,2.595,55,3,9829,1.333333333,45,70,1,35,2.4685,5,3,20,17,5,5,47,53,0,0,1,1,73.24324324,70.24489796,1
9830,0.577777778,35,30,0,2.33,55,7,9748,1.82,70,70,3,60,2.1405,2.027777778,1.160493827,6.5,2.691358025,1.861111111,1.530864198,46.83333333,56.61111111,0.055555556,0.074074074,1.861111111,1.395061728,74.78333333,70.24489796,1
9830,0.577777778,35,30,1,2.33,55,7,9748,1.82,70,70,3,60,2.1405,0,0,0,0,0,0,46.83333333,56.61111111,0,0,0,0,74.78333333,70.24489796,1
9830,0.577777778,35,30,0,2.33,55,7,9748,1.82,70,70,1,60,2.1405,4,5,12,7,1,7,29,71,0,0,6,2,74.78333333,70.24489796,1
